avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,BirthRate
168,78,209.5,463.4,35799,27037,20.6,1146.576913,43,42.3,44.1,2.44,51.6,3.66910141
418,184,210,493.8,35046,61164,20.5,81.74743313,42.3,40.6,43.7,2.39,50.6,4.807972069
170,76,198.4,456.6,40012,27451,16.1,0,43.2,42.1,44.4,2.4,44.2,7.391231312
163,76,240.8,507,29839,25292,28.1,0,41.7,40.4,42.7,2.38,55.6,2.796024928
382,132,155.9,444.5,43835,104236,22.5,95.9361449,30,28.5,31.3,2.56,37.2,4.001671717
86,39,190.7,434.6,36351,13506,19.3,0,46.6,45.4,48.3,2.3,56.8,6.07651913
105,52,209.7,425.4,44446,17524,13,0,46.1,45.8,46.6,2.36,47.7,4.090035685
160,72,199.8,455.5,36375,25594,19.6,0,43.4,42.3,44.7,2.39,57.9,3.346456693
308,123,184.4,500.9,40195,43066,18.4,301.8622579,43.3,41.3,45.1,2.24,45.2,3.257226644
45,19,139.8,381.8,38204,7229,16.7,0,49.1,47.4,50.3,2.35,55.3,7.611940299
45,21,213.3,458.9,44801,7674,16.5,0,43.6,42,45.6,2.43,55,2.966381015
50,23,176.8,384.8,34341,8607,17.6,0,48.4,47.9,49,2.24,56.4,4.256631709
183,73,169.8,435.3,41420,33940,17.6,0,42.3,40.4,43.5,2.52,53.3,4.038301415
328,114,171.5,497.2,59472,56848,10,211.0892204,41,40.4,41.6,2.6,57.4,6.034482759
482,206,198.2,469.6,40270,77510,17.7,12.90156109,41.6,40,43.4,2.4,51.3,3.77850558
161,68,168.6,405.2,37468,29126,20.8,0,43.2,41.7,45.1,2.35,52.2,4.231027535
72,32,214.7,502,46383,9982,17.7,0,45.2,45.1,45.3,2.56,49.5,6.267539757
89,41,204,449.2,33041,14435,23.1,0,44.2,43.2,45,2.48,53.9,2.353331124
76,36,170.4,377.1,32456,13239,25.8,0,46.3,46.9,46,2.22,53.5,3.812668868
87,39,172.2,400.9,40305,16912,16.8,0,43,41.6,44.5,2.45,52.3,6.801152738
56,19,168.1,528.4,36466,6966,17.1,0,47.7,47,48.4,2.26,60.5,3.868613139
61,27,199.1,468.3,41019,8975,15.8,0,46.2,45.6,46.9,2.48,53.5,1.988950276
142,60,189.5,453.7,38387,24758,19.7,0,41.8,41.2,42.5,2.57,51.5,5.300938708
236,102,183.8,433.2,37242,40971,20,24.40750775,42.5,41.3,43.5,2.47,48.9,4.112005292
65,33,259.5,511.9,29331,8755,26.1,114.2204455,46.3,45.5,46.6,2.28,54.1,4.203539823
120,50,202.6,514.6,40013,15816,18.5,0,46,44.6,47.2,2.46,51.4,6.161137441
35,14,185.8,455.3,38600,5880,20.3,0,45,45.4,44,2.4,52.2,5.968928863
554,217,185.5,488.8,41932,86452,17.2,173.5066858,42.5,41.1,44,2.37,51.1,6.23870268
134,69,235.4,447.8,34419,22151,22.8,0,42.8,41.5,44.2,2.48,55.7,6.018614271
164,73,206,467.9,42063,20148,17.8,0,51.4,49.7,53.3,2.47,50.9,3.861129137
90,45,217.5,451.5,41294,15843,14.9,0,42.2,40.8,42.8,2.29,45.9,6.460336538
254,112,168.4,412.1,46375,45563,13.7,1097.381647,43.9,42,45.6,2.35,55.8,5.884312202
88,42,171.7,369.9,44395,14977,13.6,0,50.8,50.5,51.1,2.16,58.5,5.547054323
1214,406,158.6,479.1,54141,258718,12,1213.676667,36.8,35.7,37.9,2.46,51.4,5.921762149
71,33,166.4,385.7,50998,13192,10.5,151.6070346,45,45.1,44.9,2.29,59,7.17472119
103,50,190.1,399.2,41810,15159,16.5,0,50.9,50.6,51.4,2.08,59,4.96054115
238,79,157.9,474.1,68430,49762,5.9,0,39,38.4,39.8,2.66,62,4.330985915
356,123,160.1,482.4,52485,63531,10.7,487.9507642,40.6,39.1,42,2.44,55.6,5.497771174
184,70,157.6,455.2,45316,34445,16,0,37.1,36.4,38.4,2.65,58.2,9.86429301
323,123,176.6,476.1,59020,56743,8.8,0,42,41.3,42.7,2.44,54.9,4.654466449
109,43,176.4,466.4,43562,16391,14.7,122.0181807,45.9,44.2,47.1,2.38,52.3,5.300353357
2015,707,153.8,430.7,61937,523643,13.4,129.8594653,34.6,33.7,35.6,2.35,47.5,4.458527742
463,201,178.9,437.3,54359,88502,9.9,0,42,40.4,43.7,2.51,51.1,4.49736915
208,77,158.7,449.3,49717,27554,11,1778.326196,51.7,50.2,53.2,2.11,62.6,4.481380181
187,104,192.8,354.7,46475,43601,13.9,0,40.6,39.8,41.3,2.28,47.6,6.150455775
177,72,155.6,396.1,52224,44497,13.9,0,34.1,33.4,35,2.48,47.6,5.116736739
454,177,163.4,440.9,48102,102105,14.4,675.7749376,33.8,33,34.7,2.43,46.4,4.346348463
23,13,171.9,308.2,44562,4464,12.8,0,51.1,50.8,51.3,2.32,59.9,3.462050599
579,206,159.4,477,52149,101973,9.9,235.3564179,41,40.1,41.8,2.4,54.8,4.541733098
68,25,166.4,490.6,41418,9057,17,4306.06161,45.3,44.4,46.4,2.33,52.8,7.250418293
257,108,166.9,428.2,46972,52250,15,0,36.1,33.2,39.7,2.44,48.6,5.174434328
187,74,158.4,420,53328,37186,8.7,0,42.2,41.3,43.2,2.47,56.7,5.46031746
89,32,152.3,447.2,61802,17110,8.2,0,458.4,36.3,40.7,2.46,58.1,9.675645959
29,15,169.9,356.1,40351,5220,16,191.5708812,46.1,45.2,47.8,2.29,56.5,5.360824742
20,10,187.4,400.6,43883,3091,12.1,0,49.5,47.7,50.5,2.21,61,7.992565056
16,10,138.2,221.5,55955,5937,9.2,0,38.8,36.8,41.4,2.61,62.7,5.678233438
40,13,120.2,432.5,49517,5163,10.7,0,48.9,47.6,50.9,2.15,67,6.35451505
30,14,215,453.6,41344,7064,34,0,28.6,27.5,30.3,3.3,40.9,8.467741935
24,12,156.3,350.1,44726,4154,12.3,0,46,44.2,46.6,2.21,64.2,5.01285347
104,39,159.2,431.4,69191,20248,7.4,0,41.2,40.1,42.4,2.48,63.5,5.725611099
39,15,142.1,392,53290,9367,13.6,0,30.1,27.2,32.2,2.33,53.9,5.981533521
31,12,162.7,495.5,40979,3625,12.7,0,47.5,45.5,49,2.31,57.2,3.524229075
72,33,164.7,389.2,51335,13806,10.6,0,41.3,38.2,43.6,2.31,56.5,6.993486459
1962.667684,62,211,453.5494221,46840,24200,13.2,0,38.9,37.1,40.8,2.51,51.6,7.724034496
1962.667684,3120,167.7,453.5494221,51241,2114801,15.6,405.2390745,36.4,35.9,37,2.78,44.6,5.125073246
1962.667684,108,145.2,453.5494221,60322,47710,10.3,0,49.4,48.7,50,2.37,58.9,5.193753615
1962.667684,55,143.2,453.5494221,72648,51935,10.8,0,33.5,32.9,34.1,2.87,56.6,6.700733537
1962.667684,4,262.1,453.5494221,47180,829,14,0,46.5,43,47.5,2.35,44.3,4.326923077
1962.667684,4,178.7,453.5494221,70535,2016,9.8,0,43.9,44.9,42.6,2.17,64.7,2.412868633
1962.667684,27,191.5,453.5494221,67423,17019,10.7,0,35.3,34.9,35.4,2.74,51.6,5.517423442
1962.667684,7,123.8,453.5494221,74347,5903,11,0,37.2,36.4,37.6,2.79,54.3,11.63179916
1962.667684,9,127.4,453.5494221,45629,5036,15.1,0,37.4,37.3,38.1,2.55,56.8,4.519774011
1962.667684,124,195.7,453.5494221,48576,52585,13.7,0,43.2,43.1,43.4,2.63,51.1,4.62962963
1962.667684,20,254.3,453.5494221,40714,4478,19,0,48.7,48,49.2,0.0225,41.8,9.518477044
1962.667684,154,213.5,453.5494221,42881,42477,16.8,0,50.8,50.8,50.8,0.0242,54.4,6.302577113
1962.667684,9,121.8,453.5494221,52001,6634,18.5,0,41.3,39.5,44.1,2.29,44.8,14.62113127
1962.667684,7,132.6,453.5494221,55291,3987,8.4,0,54.7,54,55.6,2.2,53.5,1.17820324
1962.667684,727,166,453.5494221,52862,446903,15.4,170.0592746,37.6,36.8,38.4,2.58,47,5.642578635
1962.667684,23,188.4,453.5494221,57243,9811,13.7,0,39.4,38.4,40.3,2.71,44.8,5.470459519
1962.667684,145,193.5,453.5494221,45639,54521,19.3,36.68311293,42.6,41.2,44.4,2.43,45.1,4.262413265
411,151,182.6,508.6,59831,60641,10,329.8098646,46.1,45.3,46.8,2.42,54.2,4.824422651
360,133,168.8,481.8,57556,47285,10.7,0,50.3,49.3,51,2.22,59.4,7.381867511
452,156,162.8,489.4,56008,75909,11.8,13.17366847,42,41.4,42.5,2.34,48.4,4.687933426
223,93,181.6,459.2,42491,31212,14.9,32.03895937,48.1,46.7,49.5,2.13,51.5,5.975049245
487,178,155,435.5,56353,89320,11.6,78.36990596,41.9,40.5,43.1,2.35,48.5,6.078496198
2075,694,163.2,482.2,71233,406678,8.7,105.7347582,40.1,39.2,41.1,2.55,51.4,5.055576216
879,309,173.1,507.6,62429,147994,9.5,378.3937187,42.6,41.4,43.7,2.49,51.5,3.901815696
1758,570,172.2,518.8,79653,301777,6.1,72.90151337,43.5,42.6,44.3,2.51,56.8,4.370734571
643,227,177.6,502.6,58577,126825,11.8,94.61856889,37.2,36.1,38.3,2.48,46.8,3.681800261
273,102,171.9,475.7,57142,42967,10.4,0,45.1,44.4,46.3,2.44,50.9,3.657874742
1624,584,179.5,505.5,54208,274219,15.1,43.76064386,40.6,38.9,42,2.64,45.1,4.69661296
5164,1722,147.3,468.1,84309,938506,7.6,330.3122196,41.5,40,42.9,2.73,54.2,4.077070131
2768,914,171.6,531.8,80479,450226,7.2,446.4424533,41,39.2,42.6,2.66,50.8,4.910516481
2963,1039,182.8,530.9,61685,510923,13,972.7493184,38.3,36.6,40.1,2.71,44.7,5.434939238
847,314,193.1,559.1,55409,94727,13,179.4630887,48.3,46.7,49.9,2.3,53.4,5.43325019
847,317,189.6,511.3,45438,155854,19.5,128.3252275,36.9,35.6,38.8,2.86,39.6,5.846434788
3553,1272,161.8,450.6,54603,797434,16.7,137.9424504,36.9,35.4,38.4,2.77,39.1,5.084469955
1691,602,193.5,544.2,78983,291479,8.2,106.3541456,39.6,38.2,40.8,2.74,51.7,4.878014043
2353,876,152.6,399.5,57720,674836,17.7,1.481841514,34.7,33.8,35.6,2.63,41.5,5.344239425
731,210,145.1,496.3,103876,125488,4.7,47.81333673,45,43.5,46.1,2.6,57.7,4.22223833
1997,648,160.3,504.7,73750,371398,11.8,96.93105509,38.4,36.9,39.9,2.69,47.2,4.725836381
3980,1357,156.7,466.7,77330,840900,8.3,89.19015341,37.7,36.6,38.9,2.85,51.6,5.074989438
3887,1269,168.6,529.6,87220,628715,8.2,146.3302132,42.3,40.9,43.6,2.67,53.2,4.571872443
2795,884,150.3,488.5,100511,499509,5,122.1199218,42,40.8,43.3,2.72,56.7,3.635690867
4355,1607,174.2,524.9,62937,588721,11.9,62.84810632,42.8,40.4,45.1,2.59,53.6,6.13243835
2305,827,159.1,448.4,58030,510916,18.2,60.67533606,36.5,35.1,37.9,3.09,44.3,4.533343875
415,164,194.8,516.6,56645,64180,13.1,62.32471175,41.8,40.2,42.8,2.61,48.7,5.98109071
1673,549,153.3,471,100194,333654,5,329.6828451,40.8,39.6,42,2.81,56.6,4.842990108
822,281,176.4,493.1,82048,143673,6.2,132.2447502,43.4,42.5,44.2,2.67,55.9,4.625184917
2663,909,155.6,463,68172,555786,11.1,25.18955137,38.1,36.5,39.5,2.91,46.5,5.746896424
623,227,175.1,485.9,71294,106869,8.3,28.0717514,42.6,41.4,43.7,2.52,54.5,4.839230894
2820,1031,147.1,404.1,47192,676685,18.7,294.0807022,36.5,35.2,37.9,2.52,43.7,5.264795797
28,10,164.7,375.5,33256,3456,22.2,0,57.1,55.5,58.7,2.44,49.4,0.689655172
272,123,164.5,375.8,38403,65764,23.4,0,34.8,32.9,36.7,2.72,48.1,8.496374333
109,42,146.5,375.5,35081,27329,28.8,0,36.2,35.2,37.8,2.98,38.1,6.744769874
76,30,139.9,377.4,37156,12414,20.5,0,47.6,46.9,48.4,2.26,48.3,5.741042345
153,66,143.8,336.5,42620,50398,19.2,0,30.7,29.3,32.9,2.72,48.7,7.197033541
14,8,243.6,467.1,33789,1828,20.6,0,47.3,51.2,45.9,3.84,27.6,0
799,319,150.8,381,38974,214295,27.9,111.9951469,32.4,31.1,34,2.8,46.2,5.880465757
239,107,170.8,391.3,57007,57578,14.1,0,36.5,35.3,37.7,2.66,50.3,9.558702453
166,76,159.4,366.5,38221,28609,19.1,454.4024608,46.5,44.6,48.1,2.37,45.8,5.998550199
21,8,142.8,361.2,29147,4371,25.8,0,41.6,40.9,41.9,3.28,33.7,3.558718861
22,11,166.3,357,34304,4423,24.5,678.2726656,41.8,40.6,42.4,2.47,46.1,5.485232068
214,99,166.2,357.1,58994,71180,16.6,0,31.8,31.5,32.2,3.08,53.3,7.530333184
117,41,123.4,363.9,39995,19420,20.1,1287.332647,50.4,48.4,51.1,2.33,52.2,8.532518066
94,27,114.5,406.2,108477,17785,4.2,0,43.5,41.8,45.1,2.34,65.5,5.543652919
144,64,181.8,420.6,27268,24518,30.6,0,39,38.3,39.2,2.7,47.1,8.62924023
205,82,137.7,332.9,29497,76708,35.8,0,30.8,29,32.3,3.97,33.5,7.322096363
25,10,134.3,359,27627,4596,24.2,0,42.6,44,42.6,2.81,41.2,1.084812623
286,122,161.1,393,41736,64362,20.2,15.53711818,35.6,33.1,37.9,2.63,49.1,8.221797323
56,27,190.6,412.7,29069,8455,23.9,0,45.7,43.7,48.2,2.59,45,4.063068526
164,71,155.5,351.8,34902,39465,24.1,0,40.1,39.6,40.6,2.86,41.9,3.902327704
68,32,163.5,360.7,36108,19120,24,0,29.4,28,30.8,2.62,45.1,4.392712551
564,188,135.7,395.4,56142,139394,12.6,0,469.2,37.6,40.1,2.83,49.7,5.497053425
435,166,136.7,356.1,47520,118737,21,202.1273908,34.2,33.1,35.2,3.04,46.6,6.09617959
125,57,158.2,355.6,32964,27967,25.5,0,42.5,42.1,42.9,2.51,33,5.744748568
691,231,126.1,374.3,52628,148686,14.2,60.53024495,44.4,42.7,46.2,2.35,47.6,4.017424976
100,47,190.3,424.2,29036,11282,23.8,0,55.6,54.7,56.5,2.25,47.9,8.198614319
84,34,167.8,404.4,32285,17256,31,0,36.8,33.9,42.8,3.43,28.5,2.688172043
154,62,135.2,339,36125,32907,19.2,0,46.8,46.1,48.5,2.44,42.4,4.706601467
108,32,164.3,558.5,37311,15485,27.6,64.57862448,43.3,43.1,43.5,2.81,49.1,2.98792117
18,9,151.6,303,36684,4201,19.4,0,40.3,38.2,45.2,2.39,44.5,3.536585366
334,133,163.1,402.3,40591,75737,24.5,330.0896524,38.5,36.9,40,2.78,49.2,6.407674997
1775,637,176.1,505.9,60371,309381,13.5,420.193871,37.9,36.4,39.6,2.35,40.8,3.774039071
282,105,177.2,490.7,42655,47462,18.3,0,38.3,36.8,39.7,2.36,47.6,4.844731809
5834,2059,162,455.3,33687,1455444,31.5,241.1635212,33.2,30.9,35.2,2.86,31,5.67890152
1235,442,163.6,494.4,46283,196567,17.2,106.8338022,39.9,37.8,42,2.37,43.8,4.2987606
515,171,167.9,517.8,43892,77922,16.2,0,41.4,40.6,42.1,2.41,48.7,4.82052462
465,163,158.6,470.8,52792,78288,12.7,102.1867975,42.5,41.2,44,0.0243,46.8,5.470136014
950,315,173.2,550.1,41757,130779,19.3,267.6270655,41.7,40.2,43.1,2.36,47,6.073151538
559,214,183.8,508.2,48880,87071,18.2,195.2429626,40.9,39.6,42.3,2.35,48.3,5.089635277
337,121,180.3,512.4,46387,48844,16.7,0,43.8,42.6,45,0.0249,50.2,5.052412881
335,155,194.2,437.1,34842,51881,20.5,19.27487905,46,43.6,47.5,2.32,52,6.007452513
12,5,111.3,327,38636,2214,14.6,0,59,60.2,58.2,2.1,63.1,10.79136691
205,88,200.6,460.2,64350,36314,10.2,0,44.5,43.4,46,2.57,58.1,3.667228197
410,159,149,423,75926,73147,7.9,27.34220132,45.4,43.4,46.7,2.49,58.3,4.819607038
38,18,180.3,383.4,46331,7158,14.8,0,45.9,42.8,48.4,2.46,53.7,9.290030211
108,41,195.7,491.5,76206,25515,7.5,0,36.6,36.3,37.3,2.96,56.6,6.194544857
90,32,187.4,514.8,64305,16269,8.8,0,40.7,40,41.5,2.66,58.5,6.631716907
101,48,190.6,446.8,45827,10965,13.7,0,55.6,53.4,57.2,2.13,51.4,4.297328688
107,73,224.2,330.5,31429,24742,26.6,0,42.8,40.3,46.2,2.52,49.8,6.208251473
862,283,136.5,364.9,122641,375629,3.9,449.9120142,35.3,34.9,35.6,3.08,61.2,6.198748382
183,77,191,456.9,60121,34602,11.5,0,43.7,42.8,44.4,2.64,55.1,5.015546843
70,33,189.8,404.1,37548,12299,22.4,0,44.7,43.2,46.6,2.48,45.7,7.48049564
84,31,169.8,463.3,52513,13134,12.3,0,44.6,44.3,45.2,2.58,52.2,6.25698324
72,27,157.1,444.9,58268,8862,10.6,225.6826901,51.1,50.8,51.3,2.3,63.6,1.906898486
216,109,213.7,445.1,38500,31081,21.1,289.5659728,47.2,45.2,49.3,2.41,44.4,4.664723032
100,43,206.9,525.6,48921,10606,14.4,94.28625306,52.7,51,53.7,2.38,54.4,2.71468144
309,120,153.3,396.2,43484,97653,24.8,256.00852,27.5,26.2,29.6,2.48,39.1,3.135414054
120,44,194.3,526.7,48076,14785,13.4,0,48.4,45.7,49.4,2.33,50,5.74048913
94,39,201.4,454.3,72406,20392,6.2,0,43.1,41.9,44.5,2.61,60.6,2.628490965
103,48,227.1,527.2,36822,12155,21.5,0,48.3,45.2,50.5,2.26,46.4,6.455750321
107,49,190.5,450.4,51422,12232,14.3,0,55.1,54.8,55.7,2.1,61,7.278020378
106,44,201.5,508,37996,15673,24.3,0,41.5,41,43.9,0.0254,42.7,7.331771008
225,82,177.3,503.5,59282,35385,10.7,0,42.6,41,44,2.66,54.7,2.100668394
137,65,199.2,430.1,44851,23726,16.9,0,44.1,43.5,44.9,2.52,53.1,5.963302752
97,52,178.3,339.1,34885,18045,21.9,0,48,46.1,50,2.31,53.5,2.944539737
346,156,176.8,399,44207,62194,14.6,0,546,44.2,46.7,2.36,53.5,4.194566305
145,52,175.1,459.6,75539,28031,7.1,0,43.7,42.4,44.9,2.63,57.5,5.615292712
99,48,188.8,410.4,37543,22952,25.5,0,32.1,29,34.5,2.49,36.1,7.608005083
155,59,172.1,437,61792,37862,10.5,0,37.1,36,38.3,3.03,49.7,4.855936413
1142,407,150.1,373.7,91886,451721,7.2,19.92380252,34,33.3,34.7,3.17,55,6.857756326
189,91,185.8,390.6,46186,34332,14.7,0,45.2,43.9,47.1,2.3,53.5,6.174957118
44,17,149.6,401.1,62800,7378,9.3,0,49.1,48.9,49.2,2.26,63.9,5.182481752
57,22,176.2,452.4,42204,8908,19.7,0,43.7,40.8,50.3,2.47,46.6,8.755129959
493,204,155.9,400.5,61935,94409,8.2,21.18442098,43.5,42.3,45,2.4,55.7,5.404491669
115,58,159.2,338,48497,22354,13,0,48.3,47.1,49.2,2.39,55,6.476146578
378,157,156.1,400.2,55798,78593,11.7,0,41.5,40.6,42.3,2.57,57,4.834403227
137,81,212,365.4,37378,27891,17.9,0,43.8,43,44.8,2.51,54,3.255738239
110,69,196.1,330.8,36290,22126,20.8,0,45.4,44.4,47,2.34,57.6,2.248441674
235,104,171.4,407.6,45430,43190,12,0,43.8,42.3,45.1,2.47,55.6,7.406593407
171,92,202.4,389.1,37831,31470,19.7,0,44.3,42.8,46.1,2.43,51.7,6.188734455
97,43,181.8,405.7,46521,18109,15.3,0,45.4,45.7,45.2,2.53,48.3,5.455508475
518,191,172.5,449.4,75714,130475,9.2,176.2789806,36.7,35.7,37.8,2.97,56,6.051314143
460,160,175.6,450.5,92647,142003,5.9,0,34.7,33.5,35.9,3.08,57.4,4.970818505
40,17,182.2,426.5,48707,6709,12.9,0,47.5,47.1,47.8,2.56,53.2,4.897660819
72,30,208.4,486.9,37748,11715,23.9,0,38.5,35.9,47.3,2.08,32,3.682946357
224,127,208.1,376.4,38292,42899,19.2,23.31056668,43.1,40.8,46.1,2.38,53.9,6.033920417
178,84,202.5,428.2,60714,39083,11.3,0,40.4,39,41.5,2.62,51.2,5.544668588
312,136,176.7,420.8,43353,54591,14.5,36.63607554,44.7,43.2,46.1,2.35,53.9,5.091597145
121,49,179.9,450.9,48232,17629,15,0,46.6,45.2,48.6,2.51,47.6,3.666942377
176,106,223.4,367.3,38528,39718,21.9,0,39.8,37.8,41.5,2.46,47.5,3.651138835
171,71,175.9,433.5,41132,29119,15.6,137.3673546,43.6,42,45.5,2.44,53.7,2.933713923
272,103,152.3,389.3,81169,67837,5.5,0,39.5,37.4,40.8,2.73,61.5,4.925163106
405,165,135.4,317.6,86419,153511,9.6,58.62772049,36,35.9,36.2,2.21,44.1,6.214827502
64,58,226.6,265.7,34099,17141,21.8,408.3775742,41.8,39.7,43.7,2.22,46.2,3.86837478
46,19,240.8,578.2,38331,6618,17.2,0,33.8,33.6,34.3,2.26,48.1,11.88769415
250,60,178.2,718.9,45890,46597,25.9,364.8303539,29.8,29.3,30.3,0.0239,30.1,2.753790712
995,378,182.2,458.3,66625,235429,9.8,46.72321592,36.5,35,38.2,2.75,52.5,5.746827092
117,43,159.3,493.6,52355,17820,11.5,0,40,37.7,43.5,2.44,47.4,3.664122137
320,130,207.4,539,33646,42082,23.6,356.4469369,41.8,38.3,44.5,2.2,38.7,3.236583838
55,16,137.6,447.7,125635,13892,3.2,0,37.7,37.1,38.6,2.57,55.3,3.066180935
51,25,221.7,468,38583,8490,22.5,0,38,35.2,40.3,2.41,34.9,4.927099045
120,39,180.3,566.3,51195,28118,16.8,1280.318657,29.4,29.5,29.3,2.46,33.7,4.269052202
709,270,190.3,491.9,47615,136454,15.2,168.5549709,35.4,33.3,38,2.51,41,4.72938218
190,51,150.5,591.1,38541,52538,28.3,57.10152651,23.5,24.5,22.8,2.69,28.7,2.564793362
139,65,244.9,547.6,40122,22378,19.5,0,36.9,34.9,38.1,2.53,35.3,5.969289827
391,165,194.5,495,40065,79812,25,388.41277,28.7,27,30.4,2.37,35.6,5.96087761
108,41,155.2,364.1,72510,41764,9.8,0,33.3,32.2,34.1,3.27,53.3,6.93416809
773,321,191.9,457.2,48440,182385,16.7,159.0043041,32.8,31.2,34.4,2.5,41.1,5.236698785
985,393,193.6,480.5,42567,246393,23.4,523.5538347,30,28.4,32.4,2.53,34.1,6.373340936
22,9,197.3,461,31620,3939,21.6,3046.458492,39.3,44.3,37,2.21,43.1,3.938223938
249,88,224.4,651.3,32749,32477,25.8,0,39.5,37.3,41.1,2.44,29.5,4.372408594
