Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Kooyong,4/459 Glenferrie Rd,2,u,1310000.0,S,Marshall,17/03/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Rockbank,21 Socrates Wy,3,h,675000.0,S,hockingstuart,17/03/2018,3335,Western Metropolitan,538,23.8,Melton City Council
Kalkallo,7 Malcolm St,3,h,615000.0,S,Barry,17/03/2018,3064,Northern Metropolitan,121,20.6,Hume City Council
Huntingdale,50 Ross St,4,h,1145000.0,S,Ray,17/06/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Burnley,2/50 Gibdon St,3,h,1100000.0,VB,hockingstuart,17/06/2017,3121,Northern Metropolitan,438,2.4,Yarra City Council
Kooyong,7 Monaro Cl,3,h,,SP,Marshall,17/06/2017,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Huntingdale,23 Beauford St,3,h,1093800.0,S,Ray,17/06/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Caulfield East,11 Leamington Cr,3,h,,S,Marshall,17/09/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Essendon West,51 Clydebank Rd,3,h,925000.0,S,Brad,17/09/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Kooyong,77 Elizabeth St,3,h,,SP,Jellis,18/03/2017,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Waterways,8 Artesian Pl,4,h,,VB,Ray,18/03/2017,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Gardenvale,7/32 Gardenia Rd,2,u,440000.0,S,Biggin,18/06/2016,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Keilor Lodge,1 Tivoli Ct,3,h,575000.0,S,Ray,18/06/2016,3038,Western Metropolitan,570,15.5,Brimbank City Council
Essendon West,2/44 Emerald St,2,u,520000.0,VB,Nelson,18/06/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,18 Greville St,3,h,951500.0,S,Woodards,18/06/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Caulfield East,20 Lloyds Av,4,h,1690000.0,S,Gary,18/06/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Huntingdale,59 Garnett St,3,h,842500.0,S,Woodards,18/06/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Caulfield East,36 Derby Cr,2,h,940000.0,VB,hockingstuart,18/06/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Huntingdale,1624 Dandenong Rd,4,h,892000.0,S,Ray,18/06/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Strathmore Heights,347 Mascoma St,4,h,800000.0,S,Considine,18/06/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Strathmore Heights,9 Glenscott Cr,4,h,780000.0,SP,Brad,18/06/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Essendon West,4/426 Buckley St,3,t,730000.0,VB,Nelson,18/06/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Gardenvale,5/48 Magnolia Rd,1,u,290000.0,SP,hockingstuart,18/08/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Caulfield East,26 Derby Cr,4,h,,S,hockingstuart,18/11/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Bulla,133 Bulla Rd,3,h,665000.0,S,Barry,18/11/2017,3428,Western Metropolitan,271,22.9,Hume City Council
Bullengarook,172 Fitzgerald Rd,6,h,1430000.0,S,Keatings,18/11/2017,3437,Northern Victoria,249,45.9,Macedon Ranges Shire Council
Hopetoun Park,62 Cowans Rd,6,h,,W,RT,18/11/2017,3340,Western Victoria,242,37.5,Moorabool Shire Council
Essendon West,29 Ruby St,4,h,1655000.0,S,Nelson,18/11/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,17/7 Adam St,2,u,556000.0,S,Jellis,18/11/2017,3121,Northern Metropolitan,438,2.4,Yarra City Council
Essendon West,9 Clydebank Rd,4,h,,VB,Harcourts,19/05/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Strathmore Heights,410 Mascoma St,3,t,787000.0,S,Nelson,19/05/2018,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Essendon West,39 Clydebank Rd,3,h,1200000.0,PI,Nelson,19/05/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,4/66 Greville St,2,u,455000.0,S,Buxton,19/08/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Kooyong,5/687 Toorak Rd,2,u,820000.0,SP,Marshall,19/08/2017,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Strathmore Heights,7 Caravelle Cr,3,h,1000000.0,S,Considine,19/08/2017,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Huntingdale,12 Leigh St,5,h,1356000.0,PI,Ray,19/11/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Waterways,12 Bluegrass Cl,4,h,1200000.0,SP,Ray,19/11/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Gardenvale,1/18 Magnolia Rd,2,u,595000.0,S,Biggin,19/11/2016,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Huntingdale,13 Berkeley St,4,h,1345000.0,S,Ray,19/11/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Caulfield East,29 Derby Cr,3,h,1071000.0,S,Marshall,19/11/2016,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Essendon West,6 Sapphire St,7,h,1300000.0,PI,Nelson,19/11/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,63 Garnett St,3,h,865000.0,S,hockingstuart,19/11/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
Kooyong,2A Moralla Rd,3,h,,S,RT,19/11/2016,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Keilor Lodge,14 Laguna Cl,4,h,770000.0,S,Nelson,2/06/2018,3038,Western Metropolitan,570,15.5,Brimbank City Council
Essendon West,2/45 Hoffmans Rd,3,t,,SP,Frank,2/06/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,416 Buckley St,5,h,1500000.0,VB,McDonald,2/06/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,50 Parkville St,2,h,1307000.0,S,Biggin,2/06/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Caulfield East,3/14 Queens Av,2,t,910000.0,SP,Gary,20/05/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Toolern Vale,69 Hoggs Rd,4,h,,VB,Keatings,20/05/2017,3337,Northern Victoria,317,31.7,Macedon Ranges Shire Council
Essendon West,7 Garnet St,3,h,1305000.0,S,Gunn&Co,20/05/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,57 Ross St,4,h,1060000.0,PI,Ray,21/04/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Kooyong,126 Elizabeth St,4,h,2100000.0,VB,Castran,21/04/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Essendon West,2/26 Ruby St,2,u,377000.0,S,YPA,21/04/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Belgrave South,16 Blumm Rd,4,h,1622500.0,S,Ray,21/04/2018,3160,Eastern Victoria,580,30.4,Yarra Ranges Shire Council
Don Valley,1490 Don Rd,3,h,441000.0,S,Fletchers,21/07/2018,3139,Northern Victoria,228,35.2,Yarra Ranges Shire Council
Huntingdale,4/264 Huntingdale Rd,2,u,,PN,Greg,21/07/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Essendon West,21 Rosehill Rd,3,h,1252000.0,S,Nelson,21/10/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Gardenvale,85 Gardenvale Rd,4,h,1850000.0,VB,Marshall,21/10/2017,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Essendon West,37 Hampton Rd,4,h,1300000.0,VB,Brad,21/10/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,384 Buckley St,4,h,,PI,Brad,22/05/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Strathmore Heights,5 Lockheed St,4,h,950000.0,S,Nelson,22/05/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Kooyong,8 Avenel Rd,5,h,,S,Kay,22/05/2016,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Mount Dandenong,1392 Mount Dandenong,3,h,405000.0,S,Fletchers,22/05/2016,3767,Eastern Victoria,552,30.1,Yarra Ranges Shire Council
Mount Dandenong,16 Oakley St,2,h,,SN,Fletchers,22/08/2016,3767,Eastern Victoria,552,30.1,Yarra Ranges Shire Council
Wattle Glen,125 Silvan Rd,4,h,,PI,Barry,22/08/2016,3096,Northern Victoria,642,23.6,Nillumbik Shire Council
Strathmore Heights,14 Elysee Ct,4,h,780000.0,VB,Brad,22/08/2016,3041,Western Metropolitan,389,8.2,Moonee Valley City Council
Yan Yean,20 Cades Rd,3,h,,PI,Harcourts,22/08/2016,3755,Northern Victoria,122,29.3,Nillumbik Shire Council
Essendon West,27 Ruby St,3,h,810000.0,SP,Paul,22/08/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Ferny Creek,4 Hill St,4,h,820000.0,VB,Ray,22/09/2018,3786,Eastern Victoria,604,29.5,Yarra Ranges Shire Council
Essendon West,445 Buckley St,3,h,950000.0,VB,Barry,22/09/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,13 Crimea St,3,h,,W,Thomas,22/09/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Kooyong,83 Talbot Cr,3,h,1755000.0,S,Jellis,22/09/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Waterways,1 Paragon Wy,4,h,785000.0,SP,RW,23/04/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Essendon West,2/25 Emerald St,2,t,638500.0,S,Frank,23/04/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,36 Ruby St,3,h,,W,Barry,23/04/2016,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Burnley,38 Loyola Gr,3,h,1500000.0,S,Nelson,23/06/2018,3121,Northern Metropolitan,438,2.4,Yarra City Council
Huntingdale,33 Beauford St,3,h,1205000.0,SA,FN,23/09/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
Keilor Lodge,3 Dana Ct,4,h,,SN,Alexkarbon,23/12/2017,3038,Western Metropolitan,570,15.5,Brimbank City Council
Wattle Glen,4 Warrington Cr,4,h,835000.0,SP,Mason,23/12/2017,3096,Northern Victoria,642,23.6,Nillumbik Shire Council
Kooyong,2 Sutton St,4,h,2900000.0,PI,Kay,24/02/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Caulfield East,4 Moodie St,3,h,1520000.0,S,hockingstuart,24/02/2018,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Menzies Creek,15 Church Rd,4,h,,SS,Kaye,24/02/2018,3159,Eastern Victoria,342,32.6,Cardinia Shire Council
Essendon West,28B Emerald St,4,t,800000.0,VB,Nelson,24/02/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,33 Emerald St,3,h,,PI,Brad,24/02/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Essendon West,24 Ruby St,4,h,1365000.0,S,Nelson,24/02/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Bullengarook,11 Dohoney Rd,4,h,865000.0,S,Raine,24/02/2018,3437,Northern Victoria,249,45.9,Macedon Ranges Shire Council
Keilor Lodge,26 Truro Cr,3,h,653000.0,SP,YPA,24/02/2018,3038,Western Metropolitan,570,15.5,Brimbank City Council
Gardenvale,28 Magnolia Rd,4,h,883000.0,S,McGrath,24/02/2018,3185,Southern Metropolitan,534,7.2,Glen Eira City Council
Huntingdale,1/238 Huntingdale Rd,3,u,,SN,Ray,24/02/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Kooyong,2/2 Monaro Rd,3,h,2000000.0,VB,Marshall,24/03/2018,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Caulfield East,11 Lord St,2,h,998000.0,S,Woodards,24/03/2018,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Cranbourne South,165 Browns Rd,3,h,1320000.0,S,O'Brien,24/03/2018,3977,South-Eastern Metropolitan,615,34.7,Casey City Council
Essendon West,17 Hampton Rd,3,h,1200000.0,SP,Jellis,24/03/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Caulfield East,2/3 Lord St,2,h,782000.0,S,Gary,24/03/2018,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
Essendon West,16 Emerald St,4,h,1405000.0,S,Nelson,24/03/2018,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Huntingdale,32 Vernon St,3,h,1000000.0,PI,Buxton,24/03/2018,3166,Southern Metropolitan,768,12.3,Monash City Council
Oaklands Junction,1180 Somerton Rd,4,h,2050000.0,SP,Brad,24/03/2018,3063,Northern Metropolitan,146,24.3,Hume City Council
Silvan,1 Parker Rd,4,h,1070000.0,S,Ray,24/06/2017,3795,Eastern Victoria,457,34.6,Yarra Ranges Shire Council
Kooyong,202/723 Toorak Rd,2,u,670000.0,VB,Jellis,24/06/2017,3144,Southern Metropolitan,394,5.9,Stonnington City Council
Essendon West,10 Beryl St,3,h,1390000.0,S,Nelson,24/06/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
Waterways,9 Artesian Pl,3,h,927000.0,S,Ray,24/09/2016,3195,South-Eastern Metropolitan,709,21.5,Kingston City Council
Burnley,148 Stawell St,2,h,1202500.0,S,Jellis,24/09/2016,3121,Northern Metropolitan,438,2.4,Yarra City Council
Huntingdale,1590 Dandenong Rd,3,h,928500.0,S,Woodards,24/09/2016,3166,Southern Metropolitan,768,12.3,Monash City Council
